record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,record_atd
51,103.0,87.0,179.0,129.0,124.5
116,157.0,73.0,281.0,173.0,171.0
462,37.0,51.0,111.0,47.0,61.5
730,222.0,110.0,340.0,142.0,203.5
767,116.0,43.0,48.0,115.0,80.5
831,127.0,85.0,23.0,146.0,95.25
902,58.0,26.0,12.0,57.0,38.25
953,43.0,71.0,43.0,48.0,51.25
1033,84.0,77.0,193.0,114.0,117.0
1180,85.0,78.0,66.0,112.0,85.25
1248,71.0,48.0,86.0,92.0,74.25
1356,92.0,65.0,106.0,97.0,90.0
1429,111.0,160.0,290.0,104.0,166.25
1514,108.0,107.0,186.0,124.0,131.25
1565,161.0,243.0,442.0,78.0,231.0
1746,59.0,27.0,11.0,60.0,39.25
1881,6.0,5.0,62.0,14.0,21.75
1994,175.0,91.0,115.0,54.0,108.75
2279,94.0,76.0,25.0,119.0,78.5
2496,36.0,55.0,114.0,36.0,60.25
2545,3.0,2.0,88.0,6.0,24.75
2624,99.0,62.0,42.0,103.0,76.5
2740,155.0,121.0,296.0,140.0,178.0
2803,95.0,102.0,285.0,99.0,145.25
3076,90.0,64.0,101.0,98.0,88.25
3314,123.0,98.0,180.0,181.0,145.5
3442,984.0,635.0,1692.0,1215.0,1131.5
3608,91.0,74.0,31.0,117.0,78.25
3680,56.0,45.0,354.0,56.0,127.75
3769,63.0,38.0,68.0,65.0,58.5
3842,82.0,61.0,40.0,86.0,67.25
4154,176.0,125.0,118.0,67.0,121.5
4201,112.0,106.0,53.0,131.0,100.5
4269,93.0,68.0,52.0,109.0,80.5
4327,51.0,72.0,188.0,69.0,95.0
4377,44.0,83.0,13.0,39.0,44.75
4461,55.0,34.0,2.0,55.0,36.5
average_simulation_TD,116.67567567567568,91.02702702702703,171.24324324324326,121.54054054054055,
