record_id,td_sim_0,record_atd
51,78.0,78.0
116,319.0,319.0
462,313.0,313.0
730,134.0,134.0
767,162.0,162.0
831,188.0,188.0
902,204.0,204.0
953,308.0,308.0
1033,144.0,144.0
1180,73.0,73.0
1248,131.0,131.0
1356,181.0,181.0
1429,363.0,363.0
1514,339.0,339.0
1565,515.0,515.0
1746,84.0,84.0
1881,381.0,381.0
1994,311.0,311.0
2279,106.0,106.0
2496,321.0,321.0
2545,273.0,273.0
2624,36.0,36.0
2740,598.0,598.0
2803,310.0,310.0
3076,173.0,173.0
3314,196.0,196.0
3442,222.0,222.0
3608,125.0,125.0
3680,237.0,237.0
3769,163.0,163.0
3842,164.0,164.0
4154,346.0,346.0
4201,31.0,31.0
4269,83.0,83.0
4327,334.0,334.0
4377,318.0,318.0
4461,180.0,180.0
average_simulation_TD,228.21621621621622,
