Classifier,Feature_Extractor,Runtime_Seconds,Avg_GPU_Utilization
nb,tfidf_zscore_absmin,1776.96,0.04108047270680923
logistic,tfidf_l2_normalize_cdf,1636.13,0.07330482590103848
logistic,tfidf_zscore_sigmoid,1564.81,0.06517571884984026
logistic,tfidfcdf,1500.07,0.07738492328218813
logistic,tfidf_pareto_cdf,1443.19,0.06657420249653259
logistic,tfidf_zscore_cdf,1438.37,0.08547602501737317
logistic,tfidf_zscore_absmin,1113.51,0.03773584905660377
logistic,tfidf_pareto_absmin,851.57,0.10340775558166862
logistic,tfidfsigmoid,731.96,0.03962101636520241
nb,tfidf_pareto_absmin,164.26,0.49079754601226994
nb,tfidfcdf,89.11,0.8181818181818182
nb,tfidfsigmoid,86.22,0.35294117647058826
logistic,tfidf_pareto_sigmoid,85.47,1.1411764705882352
nb,tfidf_zscore_cdf,80.48,1.5375
nb,tfidf_zscore_sigmoid,80.33,0.9746835443037974
nb,tfidf_pareto_cdf,79.97,1.3417721518987342
nb,tfidf_pareto_sigmoid,79.92,1.3717948717948718
nb,tfidf_l2_normalize_cdf,79.42,1.2567567567567568
