Classifier,Feature_Extractor,Runtime_Seconds,Avg_GPU_Utilization
nb,tfidf_l2_normalize,48.94,0.0
logistic,tfidf_l2_normalize,48.95,0.0
nb,tfidfn,53.84,0.0
logistic,tfidfn,65.85,0.0
nb,tfidf_l2_normalize_cdf,79.42,1.2567567567567568
nb,tfidf_pareto_sigmoid,79.92,1.3717948717948718
nb,tfidf_pareto_cdf,79.97,1.3417721518987342
nb,tfidf_zscore_sigmoid,80.33,0.9746835443037974
nb,tfidf_zscore_cdf,80.48,1.5375
logistic,tfidf_pareto_sigmoid,85.47,1.1411764705882352
nb,tfidfsigmoid,86.22,0.3529411764705882
nb,tfidfcdf,89.11,0.8181818181818182
nb,tfidf_pareto_absmin,144.04,0.3286713286713286
nb,tfidf_absmin,147.0,0.1917808219178082
nb,tfidf_l2_normalize_minmax,148.2,0.2176870748299319
nb,tfidfminmax,148.48,0.6756756756756757
nb,tfidf_zscore_minmax,148.52,0.6081081081081081
nb,tfidf_pareto_minmax,148.54,0.6054421768707483
nb,tfidf_l2_normalize_absmin,163.82,0.147239263803681
logistic,tfidf_l2_normalize_absmin,234.83,0.1666666666666666
nb,tfidf_l2_normalize_sigmoid,241.46,0.3220338983050847
logistic,tfidf_l2_normalize_minmax,251.01,0.348
logistic,tfidf_zscore_minmax,260.67,0.4015444015444015
logistic,tfidf_pareto_minmax,265.09,0.0232558139534883
logistic,tfidfminmax,273.29,0.4007352941176471
logistic,tfidf_absmin,277.85,0.1227436823104693
logistic,tfidf_l2_normalize_sigmoid,518.46,0.1640926640926641
logistic,tfidfsigmoid,731.96,0.0396210163652024
logistic,tfidf_pareto_absmin,837.28,0.1255980861244019
logistic,tfidf_zscore_absmin,1090.3,0.1220183486238532
logistic,tfidf_pareto_cdf,1271.09,0.1275590551181102
logistic,tfidf_zscore_cdf,1316.16,0.0821292775665399
logistic,tfidf_zscore_sigmoid,1456.74,0.0693681318681318
logistic,tfidfcdf,1500.07,0.0773849232821881
logistic,tfidf_l2_normalize_cdf,1508.75,0.0729442970822281
nb,tfidf_zscore_absmin,1587.74,0.0447385003150598
