record_id,td_sim_0,td_sim_1,td_sim_2,td_sim_3,td_sim_4,td_sim_5,td_sim_6,td_sim_7,td_sim_8,td_sim_9,td_sim_10,td_sim_11,record_atd
51,103.0,259.0,109.0,103.0,290.0,103.0,87.0,20.0,99.0,87.0,20.0,87.0,113.91666666666667
116,157.0,51.0,172.0,157.0,49.0,157.0,73.0,52.0,48.0,73.0,37.0,73.0,91.58333333333333
462,37.0,79.0,45.0,37.0,79.0,37.0,51.0,86.0,35.0,51.0,80.0,51.0,55.666666666666664
730,222.0,119.0,176.0,222.0,156.0,222.0,110.0,181.0,114.0,110.0,393.0,110.0,177.91666666666666
767,116.0,20.0,127.0,116.0,59.0,116.0,43.0,30.0,120.0,43.0,46.0,43.0,73.25
831,127.0,68.0,139.0,127.0,50.0,127.0,85.0,13.0,121.0,85.0,12.0,85.0,86.58333333333333
902,58.0,80.0,57.0,58.0,25.0,58.0,26.0,45.0,53.0,26.0,34.0,26.0,45.5
953,43.0,70.0,53.0,43.0,64.0,43.0,71.0,77.0,44.0,71.0,93.0,71.0,61.916666666666664
1033,84.0,16.0,104.0,84.0,121.0,84.0,77.0,29.0,91.0,77.0,97.0,77.0,78.41666666666667
1180,85.0,15.0,108.0,85.0,112.0,85.0,78.0,22.0,92.0,78.0,18.0,78.0,71.33333333333333
1248,71.0,55.0,71.0,71.0,40.0,71.0,48.0,42.0,112.0,48.0,28.0,48.0,58.75
1356,92.0,90.0,80.0,92.0,97.0,92.0,65.0,98.0,75.0,65.0,121.0,65.0,86.0
1429,111.0,162.0,101.0,111.0,73.0,111.0,160.0,120.0,170.0,160.0,199.0,160.0,136.5
1514,108.0,45.0,94.0,108.0,66.0,108.0,107.0,65.0,130.0,107.0,40.0,107.0,90.41666666666667
1565,161.0,1230.0,142.0,161.0,418.0,161.0,243.0,1146.0,220.0,243.0,1177.0,243.0,462.0833333333333
1746,59.0,58.0,58.0,59.0,26.0,59.0,27.0,44.0,55.0,27.0,29.0,27.0,44.0
1881,6.0,248.0,6.0,6.0,218.0,6.0,5.0,299.0,5.0,5.0,506.0,5.0,109.58333333333333
1994,175.0,81.0,170.0,175.0,80.0,175.0,91.0,88.0,70.0,91.0,60.0,91.0,112.25
2279,94.0,75.0,105.0,94.0,93.0,94.0,76.0,6.0,89.0,76.0,6.0,76.0,73.66666666666667
2496,36.0,103.0,32.0,36.0,78.0,36.0,55.0,92.0,31.0,55.0,92.0,55.0,58.416666666666664
2545,3.0,159.0,3.0,3.0,20.0,3.0,2.0,155.0,2.0,2.0,241.0,2.0,49.583333333333336
2624,99.0,29.0,83.0,99.0,33.0,99.0,62.0,47.0,76.0,62.0,42.0,62.0,66.08333333333333
2740,155.0,401.0,152.0,155.0,774.0,155.0,121.0,380.0,116.0,121.0,119.0,121.0,230.83333333333334
2803,95.0,164.0,86.0,95.0,54.0,95.0,102.0,134.0,83.0,102.0,230.0,102.0,111.83333333333333
3076,90.0,56.0,84.0,90.0,43.0,90.0,64.0,56.0,72.0,64.0,71.0,64.0,70.33333333333333
3314,123.0,54.0,126.0,123.0,155.0,123.0,98.0,119.0,137.0,98.0,147.0,98.0,116.75
3442,984.0,698.0,1069.0,984.0,556.0,984.0,635.0,191.0,611.0,635.0,182.0,635.0,680.3333333333334
3608,91.0,10.0,110.0,91.0,110.0,91.0,74.0,4.0,85.0,74.0,4.0,74.0,68.16666666666667
3680,56.0,165.0,69.0,56.0,136.0,56.0,45.0,114.0,52.0,45.0,166.0,45.0,83.75
3769,63.0,24.0,65.0,63.0,34.0,63.0,38.0,39.0,60.0,38.0,25.0,38.0,45.833333333333336
3842,82.0,32.0,82.0,82.0,47.0,82.0,61.0,51.0,65.0,61.0,31.0,61.0,61.416666666666664
4154,176.0,140.0,167.0,176.0,267.0,176.0,125.0,84.0,71.0,125.0,70.0,125.0,141.83333333333334
4201,112.0,44.0,121.0,112.0,109.0,112.0,106.0,104.0,106.0,106.0,108.0,106.0,103.83333333333333
4269,93.0,39.0,111.0,93.0,107.0,93.0,68.0,71.0,84.0,68.0,17.0,68.0,76.0
4327,51.0,77.0,89.0,51.0,101.0,51.0,72.0,32.0,64.0,72.0,67.0,72.0,66.58333333333333
4377,44.0,49.0,75.0,44.0,60.0,44.0,83.0,73.0,45.0,83.0,38.0,83.0,60.083333333333336
4461,55.0,22.0,56.0,55.0,29.0,55.0,34.0,48.0,51.0,34.0,45.0,34.0,43.166666666666664
average_simulation_TD,116.67567567567568,137.48648648648648,121.54054054054055,116.67567567567568,130.51351351351352,116.67567567567568,91.02702702702703,115.05405405405405,96.05405405405405,91.02702702702703,126.78378378378379,91.02702702702703,
