Classifier,Feature_Extractor,Runtime_Seconds,Avg_GPU_Utilization
nb,tfidf_l2_normalize,48.9,0.0
logistic,tfidf_l2_normalize,49.0,0.0
nb,tfidfn,53.8,0.0
logistic,tfidfn,65.8,0.0
nb,tfidf_l2_normalize_cdf,79.4,1.26
nb,tfidf_pareto_sigmoid,79.9,1.37
nb,tfidf_pareto_cdf,80.0,1.34
nb,tfidf_zscore_sigmoid,80.3,0.97
nb,tfidf_zscore_cdf,80.5,1.54
logistic,tfidf_pareto_sigmoid,85.5,1.14
nb,tfidfsigmoid,86.2,0.35
nb,tfidfcdf,89.1,0.82
nb,tfidf_pareto_absmin,144.0,0.33
nb,tfidf_absmin,147.0,0.19
nb,tfidf_l2_normalize_minmax,148.2,0.22
nb,tfidf_zscore_minmax,148.5,0.61
nb,tfidf_pareto_minmax,148.5,0.61
nb,tfidfminmax,148.5,0.68
nb,tfidf_l2_normalize_absmin,163.8,0.15
logistic,tfidf_l2_normalize_absmin,234.8,0.17
nb,tfidf_l2_normalize_sigmoid,241.5,0.32
logistic,tfidf_l2_normalize_minmax,251.0,0.35
logistic,tfidf_zscore_minmax,260.7,0.4
logistic,tfidf_pareto_minmax,265.1,0.02
logistic,tfidfminmax,273.3,0.4
logistic,tfidf_absmin,277.8,0.12
logistic,tfidf_l2_normalize_sigmoid,518.5,0.16
logistic,tfidfsigmoid,732.0,0.04
logistic,tfidf_pareto_absmin,837.3,0.13
logistic,tfidf_zscore_absmin,1090.3,0.12
logistic,tfidf_pareto_cdf,1271.1,0.13
logistic,tfidf_zscore_cdf,1316.2,0.08
logistic,tfidf_zscore_sigmoid,1456.7,0.07
logistic,tfidfcdf,1500.1,0.08
logistic,tfidf_l2_normalize_cdf,1508.8,0.07
nb,tfidf_zscore_absmin,1587.7,0.04
