Classifier,Feature_Extractor,Runtime_Seconds,Avg_GPU_Utilization
nb,tfidf_zscore_absmin,1587.74,0.04473850031505986
logistic,tfidfcdf,1574.68,0.06402048655569782
logistic,tfidf_l2_normalize_cdf,1508.75,0.07294429708222812
logistic,tfidf_zscore_sigmoid,1456.74,0.06936813186813187
logistic,tfidf_zscore_cdf,1316.16,0.08212927756653993
logistic,tfidf_pareto_cdf,1271.09,0.12755905511811025
logistic,tfidf_zscore_absmin,1090.3,0.12201834862385322
logistic,tfidf_pareto_absmin,837.28,0.1255980861244019
logistic,tfidfsigmoid,734.02,0.13369713506139155
logistic,tfidf_l2_normalize_sigmoid,518.46,0.1640926640926641
logistic,tfidf_pareto_sigmoid,475.2,0.20464135021097046
nb,tfidf_zscore_cdf,295.81,0.44745762711864406
nb,tfidf_pareto_cdf,294.94,0.29591836734693877
nb,tfidf_zscore_sigmoid,292.81,0.19863013698630136
nb,tfidf_l2_normalize_cdf,292.03,0.32989690721649484
nb,tfidfcdf,290.48,0.2975778546712803
logistic,tfidf_absmin,277.85,0.12274368231046931
logistic,tfidfminmax,273.29,0.4007352941176471
logistic,tfidf_pareto_minmax,265.09,0.023255813953488372
logistic,tfidf_zscore_minmax,260.67,0.4015444015444015
logistic,tfidf_l2_normalize_minmax,251.01,0.348
nb,tfidf_l2_normalize_sigmoid,241.46,0.3220338983050847
logistic,tfidf_l2_normalize_absmin,234.83,0.16666666666666666
nb,tfidfsigmoid,233.91,0.3275862068965517
nb,tfidf_pareto_sigmoid,181.7,0.37777777777777777
nb,tfidf_l2_normalize_absmin,163.82,0.147239263803681
nb,tfidf_pareto_minmax,148.54,0.6054421768707483
nb,tfidf_zscore_minmax,148.52,0.6081081081081081
nb,tfidfminmax,148.48,0.6756756756756757
nb,tfidf_l2_normalize_minmax,148.2,0.21768707482993196
nb,tfidf_absmin,147.0,0.1917808219178082
nb,tfidf_pareto_absmin,144.04,0.32867132867132864
logistic,tfidfn,65.85,0.0
nb,tfidfn,53.84,0.0
logistic,tfidf_l2_normalize,48.95,0.0
nb,tfidf_l2_normalize,48.94,0.0
